name	cpu_time	wall_time	tot_en	cutoff
Ethybenzene	8.39	8.61	-107.11846264	30
Ethybenzene	12.69	12.98	-107.52928892	35
Ethybenzene	17.28	17.61	-107.78946916	40
Ethybenzene	23.12	23.52	-107.94785531	45
Ethybenzene	24.33	24.87	-108.04773436	50
Ethybenzene	25.32	25.76	-108.10192648	55
Ethybenzene	31.47	32.0	-108.13059758	60
Ethybenzene	40.93	41.53	-108.14605356	65
Ethybenzene	48.61	49.35	-108.15370625	70
Ethybenzene	53.77	54.74	-108.15716173	75
Ethybenzene	52.12	53.0	-108.15859784	80
Ethybenzene	60.3	61.27	-108.15903114	85
Ethybenzene	63.45	64.53	-108.15913611	90
Ethybenzene	71.84	73.02	-108.15915574	95
Ozon	5.7	5.94	-97.10359771	30
Ozon	8.27	8.52	-97.73131208	35
Ozon	12.12	12.49	-98.11983341	40
Ozon	22.58	23.21	-98.35528901	45
Ozon	27.23	28.01	-98.50332505	50
Ozon	29.56	30.25	-98.57934876	55
Ozon	24.45	25.15	-98.61575374	60
Ozon	30.2	30.9	-98.63254170	65
Ozon	44.41	45.37	-98.63917239	70
Ozon	43.56	44.97	-98.64148848	75
Ozon	44.09	45.24	-98.64225228	80
Ozon	65.44	67.25	-98.64243664	85
Ozon	43.46	44.61	-98.64247428	90
Ozon	65.18	66.87	-98.64248825	95
Boron_nitride	16.98	17.86	0	30
Boron_nitride	22.78	23.62	0	35
Boron_nitride	29.9	31.19	-26.03927536	40
Boron_nitride	40.1	41.35	0	45
Boron_nitride	44.47	46.27	0	50
Boron_nitride	46.97	48.72	0	55
Boron_nitride	54.22	55.82	0	60
Boron_nitride	79.14	81.72	0	65
Boron_nitride	75.99	78.36	0	70
Boron_nitride	85.53999999999999	88.59	0	75
Boron_nitride	91.65	94.89	0	80
Boron_nitride	97.46000000000001	101.42	0	85
Boron_nitride	115.92	119.25999999999999	0	90
Boron_nitride	110.11	113.44	0	95
Buthane	5.36	5.5	-59.50352211	30
Buthane	6.46	6.65	-59.73355137	35
Buthane	9.72	10.01	-59.87315086	40
Buthane	15.68	16.08	-59.95305971	45
Buthane	15.64	16.05	-60.00320566	50
Buthane	17.2	17.64	-60.03180484	55
Buthane	18.77	19.24	-60.04798785	60
Buthane	25.71	26.36	-60.05703485	65
Buthane	23.5	24.06	-60.06137245	70
Buthane	27.89	28.68	-60.06319962	75
Buthane	31.77	32.52	-60.06390776	80
Buthane	34.0	34.69	-60.06411577	85
Buthane	37.52	38.34	-60.06416696	90
Buthane	37.85	38.68	-60.06417999	95
Tuloene	8.05	8.28	-92.83755920	30
Tuloene	9.62	9.86	-93.18729460	35
Tuloene	12.41	12.69	-93.41298146	40
Tuloene	16.5	16.89	-93.55132498	45
Tuloene	19.38	19.79	-93.63896312	50
Tuloene	22.95	23.39	-93.68632556	55
Tuloene	23.55	24.0	-93.71112907	60
Tuloene	32.82	33.47	-93.72429698	65
Tuloene	36.8	37.51	-93.73083187	70
Tuloene	38.86	39.56	-93.73381698	75
Tuloene	44.92	45.71	-93.73506993	80
Tuloene	42.76	43.66	-93.73545037	85
Tuloene	51.15	52.05	-93.73554166	90
Tuloene	54.57	55.48	-93.73555791	95
Phenol	9.08	9.39	-111.04872298	30
Phenol	10.77	11.05	-111.56879537	35
Phenol	13.93	14.22	-111.89879453	40
Phenol	17.89	18.27	-112.09755450	45
Phenol	21.74	22.23	-112.22159183	50
Phenol	23.12	23.62	-112.28709160	55
Phenol	26.9	27.49	-112.31964990	60
Phenol	34.91	35.67	-112.33611627	65
Phenol	35.76	36.43	-112.34383121	70
Phenol	42.19	42.97	-112.34719130	75
Phenol	45.62	46.47	-112.34854698	80
Phenol	46.19	46.99	-112.34894173	85
Phenol	54.49	55.44	-112.34903448	90
Phenol	57.94	58.98	-112.34905214	95
Pyridine	6.48	6.67	-85.88210298	30
Pyridine	8.94	9.18	-86.24516896	35
Pyridine	11.51	11.83	-86.47721084	40
Pyridine	16.53	16.91	-86.62029694	45
Pyridine	17.05	17.52	-86.71031403	50
Pyridine	18.17	18.53	-86.75803256	55
Pyridine	21.41	21.86	-86.78213096	60
Pyridine	27.33	27.91	-86.79420545	65
Pyridine	33.58	34.21	-86.79986502	70
Pyridine	32.02	32.71	-86.80234836	75
Pyridine	37.79	38.61	-86.80335280	80
Pyridine	39.53	40.35	-86.80364376	85
Pyridine	45.63	46.55	-86.80371161	90
Pyridine	45.37	46.29	-86.80372767	95
Tetracarbon	5.79	6.02	-46.90980470	30
Tetracarbon	9.87	10.22	-47.08680050	35
Tetracarbon	11.4	11.79	-47.20537545	40
Tetracarbon	15.25	15.73	-47.27729433	45
Tetracarbon	17.63	18.21	-47.32046737	50
Tetracarbon	24.89	25.51	-47.34232329	55
Tetracarbon	18.76	19.36	-47.35328569	60
Tetracarbon	25.98	26.78	-47.35941042	65
Tetracarbon	36.36	37.31	-47.36260741	70
Tetracarbon	38.92	40.18	-47.36413865	75
Tetracarbon	37.44	38.44	-47.36479067	80
Tetracarbon	36.45	37.3	-47.36498956	85
Tetracarbon	43.1	44.24	-47.36503788	90
Tetracarbon	45.76	47.01	-47.36504520	95
Phosphorus_dimer	5.73	5.95	-27.57234046	30
Phosphorus_dimer	4.63	4.84	-27.57286464	35
Phosphorus_dimer	6.45	6.71	-27.57293903	40
Phosphorus_dimer	15.89	16.39	-27.57295189	45
Phosphorus_dimer	12.65	13.16	-27.57295565	50
Phosphorus_dimer	15.93	16.38	-27.57295926	55
Phosphorus_dimer	15.67	16.23	-27.57296555	60
Phosphorus_dimer	18.9	19.57	-27.57297259	65
Phosphorus_dimer	14.13	14.61	-27.57297676	70
Phosphorus_dimer	19.57	20.38	-27.57297830	75
Phosphorus_dimer	24.02	24.94	-27.57298006	80
Phosphorus_dimer	31.33	32.47	-27.57298399	85
Phosphorus_dimer	27.41	28.26	-27.57299051	90
Phosphorus_dimer	25.3	26.14	-27.57299809	95
Silver_dimer	5.67	5.84	-614.67431765	30
Silver_dimer	7.29	7.5	-617.03335076	35
Silver_dimer	10.14	10.42	-618.31887727	40
Silver_dimer	13.54	13.84	-618.99399853	45
Silver_dimer	13.46	13.77	-619.36807849	50
Silver_dimer	14.81	15.19	-619.54528818	55
Silver_dimer	16.73	17.13	-619.62569711	60
Silver_dimer	22.51	23.02	-619.66139113	65
Silver_dimer	26.53	27.06	-619.67501979	70
Silver_dimer	28.45	29.06	-619.67956066	75
Silver_dimer	31.02	31.69	-619.68086497	80
Silver_dimer	32.16	32.94	-619.68109963	85
Silver_dimer	48.0	48.91	-619.68111986	90
Silver_dimer	51.82	52.82	-619.68112278	95
Copper_dimer	19.54	19.98	-730.36075140	30
Copper_dimer	15.61	16.02	-741.74434043	35
Copper_dimer	14.91	15.29	-748.76927782	40
Copper_dimer	16.95	17.37	-752.90661714	45
Copper_dimer	18.7	19.13	-755.44353652	50
Copper_dimer	19.73	20.22	-756.74645480	55
Copper_dimer	21.66	22.19	-757.37456344	60
Copper_dimer	26.53	27.07	-757.66664394	65
Copper_dimer	32.31	32.94	-757.78305800	70
Copper_dimer	30.79	31.42	-757.82374173	75
Copper_dimer	33.86	34.58	-757.83657642	80
Copper_dimer	37.71	38.48	-757.83947831	85
Copper_dimer	41.07	41.95	-757.83998464	90
Copper_dimer	39.9	40.8	-757.84002892	95
Carbon_dioxide	4.28	4.51	-76.94734489	30
Carbon_dioxide	7.52	7.73	-77.47348146	35
Carbon_dioxide	9.24	9.57	-77.78121248	40
Carbon_dioxide	15.04	15.51	-77.95423581	45
Carbon_dioxide	14.53	14.95	-78.05969066	50
Carbon_dioxide	14.44	14.85	-78.11543799	55
Carbon_dioxide	19.42	20.0	-78.14321939	60
Carbon_dioxide	23.85	24.57	-78.15674068	65
Carbon_dioxide	24.22	24.92	-78.16220748	70
Carbon_dioxide	26.8	27.79	-78.16413322	75
Carbon_dioxide	30.22	31.04	-78.16475493	80
Carbon_dioxide	31.31	32.22	-78.16490098	85
Carbon_dioxide	35.05	36.0	-78.16492347	90
Carbon_dioxide	37.56	38.64	-78.16493476	95
Beryllium_monoxide	7.54	7.87	-59.10220101	30
Beryllium_monoxide	10.37	10.78	-59.80502955	35
Beryllium_monoxide	17.77	18.46	-60.21553415	40
Beryllium_monoxide	17.94	18.55	-60.44524320	45
Beryllium_monoxide	20.17	20.92	-60.58208653	50
Beryllium_monoxide	19.09	19.82	-60.65114912	55
Beryllium_monoxide	24.05	24.92	-60.68442475	60
Beryllium_monoxide	36.29	37.43	-60.70002964	65
Beryllium_monoxide	38.03	39.15	-60.70626722	70
Beryllium_monoxide	39.65	41.01	-60.70844990	75
Beryllium_monoxide	35.61	36.74	-60.70917125	80
Beryllium_monoxide	39.15	40.4	-60.70934162	85
Beryllium_monoxide	61.36	63.14	-60.70936897	90
Beryllium_monoxide	48.69	50.1	-60.70937824	95
Magnesium_monoxide	7.98	8.33	-147.08394905	30
Magnesium_monoxide	11.57	12.0	-149.08067025	35
Magnesium_monoxide	13.5	13.99	-150.25805624	40
Magnesium_monoxide	22.09	22.82	-150.90944450	45
Magnesium_monoxide	32.01	33.01	-151.28039183	50
Magnesium_monoxide	26.58	27.44	-151.45589341	55
Magnesium_monoxide	27.21	28.18	-151.53384211	60
Magnesium_monoxide	43.83	45.17	-151.56675877	65
Magnesium_monoxide	45.09	46.28	-151.57840643	70
Magnesium_monoxide	51.0	52.36	-151.58181617	75
Magnesium_monoxide	73.55	75.81	-151.58264949	80
